cik,fyear,Z_score_c,tier1_c,past_due_90,past_due_nonaccrual,non_perf_loan,rssdid,cik_original,gvkey,tic,cusip,conm,roa,roe,leverage,tobinq,mark_to_bk,eps,at,bkvlps,ceq,csho,dlc,dltt,ni,seq,mkvalt,prcc_f
22356,2002,850.28241,0.1733484,25212.742,33741.535,58954.277,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.014990365,116.81137,1.2697014,1.0916789,124.90703,2.9730558,13308.415,21.107201,1416.337,67.101997,1709.868,88.457001,199.498,1416.337,2636.4375,39.290001
22356,2003,486.86871,0.16642912,24618.992,38304.191,62923.184,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.014455213,148.9496,1.7298254,1.1316452,156.07335,3.0385475,14287.164,21.347601,1450.954,67.968002,2310.176,199.72099,206.524,1450.954,3331.7915,49.02
22356,2004,268.4588,0.15792432,14885.648,20071.588,34957.234,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.015462127,161.85896,1.6143054,1.140606,164.30157,3.2242823,14250.368,20.8797,1426.88,68.337997,2030.434,272.98599,220.341,1426.88,3430.5676,50.200001
22356,2005,249.80234,0.15181294,15482.197,10820.725,26302.922,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.016077654,171.88829,1.1928327,1.1577411,178.52075,3.2979333,13885.545,19.7633,1337.838,67.693001,1565.302,30.514999,223.24699,1337.838,3528.1592,52.119999
22356,2006,779.25098,0.14588468,21960.381,18005.205,39965.586,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.014434469,151.94312,1.265653,1.1279464,164.689,3.1386719,15230.349,20.589001,1442.114,70.042999,1292.584,532.63202,219.842,1442.114,3390.7815,48.41
22356,2007,241.90739,0.14142802,21625.33,20447.463,42072.793,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.012752987,128.96486,1.1932151,1.1047293,151.74486,2.8748295,16204.831,21.251499,1527.686,71.886002,749.82202,1073.036,206.66,1527.686,3224.8059,44.860001
22356,2008,93.072083,0.13492785,40750.172,74330.008,115080.18,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.010760335,109.26685,1.7596484,1.100293,160.51161,2.4861627,17532.447,20.777399,1576.632,75.882004,1627.677,1146.641,188.655,1576.632,3335.0139,43.950001
22356,2009,183.6212,0.13470371,42833.441,107117.77,149951.2,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.0093307523,78.774849,0.97613078,1.0735973,141.92386,2.0344744,18120.189,22.672899,1884.228,83.105003,1530.788,308.465,169.075,1884.228,3217.8257,38.720001
22356,2010,276.44373,0.14562276,20519.344,84638.078,105157.42,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.01198281,101.56744,0.54159594,1.0769436,147.78761,2.556442,18502.34,23.314699,2021.9871,86.725998,533.07703,562.02301,221.71001,2021.9871,3445.624,39.73
22356,2011,478.84747,0.14254414,14365.613,72490.742,86856.352,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.012414085,109.72148,0.63151813,1.0595137,139.58881,2.8783181,20649.367,24.321199,2166.0471,89.059998,856.54102,511.35699,256.34299,2166.0471,3394.9673,38.119999
22356,2012,665.56311,0.14202812,14461.993,48450.738,62912.73,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.012154061,103.16255,0.54784977,1.0470219,135.54167,2.9424572,22159.59,23.676201,2167.127,91.531998,685.06,502.20001,269.32901,2167.127,3209.1118,35.060001
22356,2013,733.69635,0.12286203,13006.263,77297.258,90303.523,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.011310705,122.06937,0.65766776,1.0910679,187.2612,2.7180889,23072.035,23.0254,2210.6421,96.009003,1347.736,106.132,260.961,2210.6421,4311.7642,44.91
22356,2014,591.4223,0.12377516,12570.514,74601.188,87171.703,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.010909016,118.00964,0.84395415,1.083762,185.62015,2.7134891,23994.279,22.601101,2185.4089,96.463997,1862.71,103.866,261.754,2330.1931,4195.2192,43.490002
22356,2015,347.88858,0.12062924,15094.183,54117.051,69211.234,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.01071857,115.22224,0.87526619,1.078231,182.32899,2.7085624,24604.963,22.7176,2217.2061,97.369003,1967.37,100,263.73001,2361.99,4142.0771,42.540001
22356,2016,1413.9182,0.12169423,14762.893,30734.117,45497.008,1049341,22356,3238,CBSH,200525103,COMMERCE BANCSHARES INC,0.010740082,156.63782,0.73161566,1.1374609,254.58162,2.709528,25641.424,23.0798,2350.999,101.638,1824.196,1.758,275.39099,2495.783,5875.6929,57.810001
25191,2000,750.95673,0.25843054,,,,2549857,25191,3555,CFC.3,222372104,COUNTRYWIDE FINANCIAL CORP,0.016299052,140.5632,4.3999224,1.071792,,3.1780059,22955.508,30.231899,3559.2639,117.732,7766.4956,7893.9912,374.15302,3559.2639,,44.23
25191,2001,1042.9877,0.20366773,195365.44,2456550.5,2651916,2549857,25191,3555,CFC.3,222372104,COUNTRYWIDE FINANCIAL CORP,0.013058779,162.27133,6.579545,1.0252472,,3.9607353,37216.805,33.3125,4087.6421,122.706,12965.099,13929.726,486.00601,4087.6421,,40.970001
25191,2002,229.25766,0.16858758,627214.13,1592717,2219931.3,2549857,25191,3555,CFC.3,222372104,COUNTRYWIDE FINANCIAL CORP,0.014505732,343.52762,8.1723576,1.0237089,,6.6510673,58030.781,40.779202,5161.1328,126.563,25473.1,16705.527,841.77899,5161.1328,,51.650002
